date,ensemble,buy_and_hold,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8
2012-01-26,-0.0015957319839031653,-0.00260494686530931,-0.003930515056736239,-0.00260494686530931,-0.00260494686530931,0.0,-0.00260494686530931,0.002593661528154301,-0.00260494686530931,0.0,-0.00260494686530931
2012-01-27,0.0014945497814139131,0.001987597976098698,0.0016732370458683143,0.001987597976098698,0.001987597976098698,0.0,0.001987597976098698,0.0018397211063634123,0.001987597976098698,0.0,0.001987597976098698
2012-01-30,-0.0013105068077625497,-0.001827318305580028,-0.0030045013404759622,-0.001827318305580028,-0.001827318305580028,0.0,-0.001827318305580028,0.0003465315985131556,-0.001827318305580028,0.0,-0.001827318305580028
2012-01-31,0.0016552322983644583,0.0018484669411690136,0.0006934043682275237,0.0018484669411690136,0.0018484669411690136,0.0,0.0018484669411690136,0.0018484669411690136,0.004961351611207532,0.0,0.0018484669411690136
2012-02-01,0.005088858004724016,0.007442372709941925,0.008587858492806522,0.007442372709941925,0.007442372709941925,0.0,0.007442372709941925,0.007442372709941925,0.0,0.0,0.007442372709941925
2012-02-02,0.0019760808432691605,0.002941660954727865,0.0030764228157831195,0.002941660954727865,0.002941660954727865,0.0,0.002941660954727865,0.002941660954727865,0.0,0.0,0.002941660954727865
2012-02-03,0.005573271185715963,0.008359906778573945,0.008359906778573945,0.008359906778573945,0.008359906778573945,0.0,0.008359906778573945,0.008359906778573945,0.0,0.0,0.008359906778573945
2012-02-06,-0.000239943730529018,0.0002577159070128565,0.0002577159070128565,0.0002577159070128565,0.0002577159070128565,0.0,0.0002577159070128565,0.0002577159070128565,0.000922499256730247,0.0,-0.004370572366555692
2012-02-07,0.0016141836124405771,0.00203483896729596,0.00203483896729596,0.00203483896729596,0.00203483896729596,0.0,0.00203483896729596,0.00203483896729596,0.0006894393358721329,0.0,0.0036640183396132618
2012-02-08,0.0010417333981461658,0.0015957739320038079,0.0015957739320038079,0.0015957739320038079,0.0015957739320038079,0.0,0.0015957739320038079,0.0015957739320038079,-0.000629716817717696,0.0004306738090103401,0.0015957739320038079
2012-02-09,-0.00035626450586372246,-0.0005955156752486035,-0.0005955156752486035,-0.0005955156752486035,-0.0005955156752486035,0.0,-0.0005955156752486035,-0.0005955156752486035,-0.001558163504576604,0.0019248770032947228,-0.0005955156752486035
2012-02-10,-0.0038565983063408703,-0.005856631726522665,-0.005856631726522665,-0.005856631726522665,-0.005856631726522665,0.0,-0.005856631726522665,-0.005856631726522665,2.5901700452113373e-05,0.00040450390161603786,-0.005856631726522665
2012-02-13,0.005479806411793766,0.0069755363444759634,0.0069755363444759634,0.0069755363444759634,0.0069755363444759634,0.0,0.0069755363444759634,0.0069755363444759634,0.0017386932592512784,0.005726346380036829,0.0069755363444759634
2012-02-14,-0.00011916282624655125,-0.00015320934803128016,-0.00015320934803128016,-0.00015320934803128016,-0.00015320934803128016,0.0,-0.00015320934803128016,-0.00015320934803128016,-0.00015320934803128016,0.0,-0.00015320934803128016
