seed,fold,generation,best_fitness,mean_fitness,unique,best_rule
0,4,5,0.583209329630196,0.22237429953210086,53,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.2)
0,4,6,0.583209329630196,0.25065797581218524,55,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.2)
0,4,7,0.583209329630196,0.2589456499533641,53,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.2)
0,4,8,0.583209329630196,0.3516999025605314,55,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.2)
0,4,9,0.583209329630196,0.4006992582766972,51,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.2)
0,4,10,0.583209329630196,0.3481925455805675,46,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.26 AND rsi(5) > 32.2)
0,4,11,0.5907218115717981,0.3847218876293866,48,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,12,0.5907218115717981,0.34512439986070115,51,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,13,0.5907218115717981,0.3167016750193544,50,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,14,0.5907218115717981,0.24803763750445287,52,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,15,0.5907218115717981,0.34601909678024634,45,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,16,0.5907218115717981,0.34229085117223634,48,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,17,0.5907218115717981,0.40137411154699326,45,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,18,0.5907218115717981,0.2720135425677164,43,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,19,0.5907218115717981,0.2985867280237317,45,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,20,0.5907218115717981,0.26942874550348617,46,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,21,0.5907218115717981,0.3911675984505298,47,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,22,0.5907218115717981,0.27159265603772126,47,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,23,0.5907218115717981,0.2532102219844198,49,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
0,4,24,0.5907218115717981,0.3526442560784034,48,ENTRY zscore(50) < -1.19 | EXIT (vol(20) > 0.31 AND rsi(5) > 32.2)
1,0,0,0.4514901440666519,-0.2619031100569841,60,"ENTRY ma_spread(10,100) > 0.036 | EXIT mom(126) < -0.018"
1,0,1,0.4514901440666519,-0.13524485396872202,59,"ENTRY ma_spread(10,100) > 0.036 | EXIT mom(126) < -0.018"
1,0,2,0.4514901440666519,-0.13185328163948232,58,"ENTRY ma_spread(10,100) > 0.036 | EXIT mom(126) < -0.018"
1,0,3,0.4514901440666519,-0.13439622451073074,57,"ENTRY ma_spread(10,100) > 0.036 | EXIT mom(126) < -0.018"
1,0,4,0.4514901440666519,0.060443534732774445,58,"ENTRY ma_spread(10,100) > 0.036 | EXIT mom(126) < -0.018"
1,0,5,0.4514901440666519,0.14532850023641,57,"ENTRY ma_spread(10,100) > 0.036 | EXIT mom(126) < -0.018"
1,0,6,0.5303584736533529,0.1241662980151022,55,"ENTRY ma_spread(10,100) > 0.034 | EXIT NOT trend(10) < 0.028"
1,0,7,0.539415014541052,0.1678382670639043,58,"ENTRY ma_spread(10,100) > 0.031 | EXIT NOT trend(10) < 0.028"
1,0,8,0.539415014541052,0.10832833487506856,59,"ENTRY ma_spread(10,100) > 0.031 | EXIT NOT trend(10) < 0.028"
1,0,9,0.5736981597788837,0.1087456621206646,58,"ENTRY ma_spread(10,100) > 0.044 | EXIT NOT trend(10) < 0.028"
1,0,10,0.5736981597788837,0.2656374130921764,56,"ENTRY ma_spread(10,100) > 0.044 | EXIT NOT trend(10) < 0.028"
1,0,11,0.5736981597788837,0.053551071398926745,54,"ENTRY ma_spread(10,100) > 0.044 | EXIT NOT trend(10) < 0.028"
1,0,12,0.6044142849002481,-0.029693622795188248,51,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.028"
1,0,13,0.6044142849002481,-0.0009660892152573819,52,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.028"
1,0,14,0.6044142849002481,0.07267066140014226,51,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.028"
1,0,15,0.6044142849002481,-0.057782057292972026,47,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.028"
1,0,16,0.6044142849002481,-0.00942276261143932,51,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.028"
1,0,17,0.6177864923655735,0.13606265027031117,57,"ENTRY ma_spread(5,100) > 0.043 | EXIT NOT trend(10) < 0.032"
1,0,18,0.6275931109278484,0.17878352087180568,52,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,0,19,0.6275931109278484,0.1497139298302365,50,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,0,20,0.6275931109278484,0.1522962405253663,53,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,0,21,0.6275931109278484,0.1475672385119989,49,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,0,22,0.6275931109278484,-0.017205189852872692,54,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,0,23,0.6275931109278484,0.13836732368372703,54,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,0,24,0.6275931109278484,-0.09926422440148999,48,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,1,0,0.6571874234438948,-0.10212207508667724,60,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,1,1,0.6571874234438948,-0.07228809242314031,59,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,1,2,0.6571874234438948,0.040335870385365874,57,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,1,3,0.6571874234438948,0.10012170841219144,53,"ENTRY ma_spread(10,100) > 0.038 | EXIT NOT trend(10) < 0.032"
1,1,4,0.6586221648595293,0.10070530598476496,51,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.032"
1,1,5,0.6608987298148699,0.07287320142584512,54,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,6,0.6608987298148699,0.09516441921097386,56,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,7,0.6608987298148699,0.17273395288067234,57,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,8,0.6608987298148699,0.11260516744818369,53,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
1,1,9,0.6608987298148699,-0.13212885681238595,53,"ENTRY (ma_spread(10,100) > 0.038 OR trend(20) > 0.066) | EXIT NOT trend(10) < 0.033"
